Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,1040,OPTCUR,CE,51.25,JPYINR,JPYINR23FEB24C51.25,JPYINR 23rd FEB 51.25 CE,2024-02-23,1,0.0025
CDS,cde_fo,JPYINR,1043,OPTCUR,PE,51.25,JPYINR,JPYINR23FEB24P51.25,JPYINR 23rd FEB 51.25 PE,2024-02-23,1,0.0025
CDS,cde_fo,GBPUSD,1046,FUTCUR,XX,-1,GBPUSD,GBPUSD27DEC24F,GBPUSD 27th DEC FUT,2024-12-27,1,0.0001
CDS,cde_fo,JPYINR,1047,FUTCUR,XX,-1,JPYINR,JPYINR27DEC24F,JPYINR 27th DEC FUT,2024-12-27,1,0.0025
CDS,cde_fo,USDINR,1049,FUTCUR,XX,-1,USDINR,USDINR27DEC24F,USDINR 27th DEC FUT,2024-12-27,1,0.0025
CDS,cde_fo,GBPINR,1050,FUTCUR,XX,-1,GBPINR,GBPINR29MAY24F,GBPINR MAY FUT,2024-05-29,1,0.0025
CDS,cde_fo,GBPINR,1051,FUTCUR,XX,-1,GBPINR,GBPINR26MAR24F,GBPINR 26th MAR FUT,2024-03-26,1,0.0025
CDS,cde_fo,GBPUSD,1052,FUTCUR,XX,-1,GBPUSD,GBPUSD29MAY24F,GBPUSD MAY FUT,2024-05-29,1,0.0001
CDS,cde_fo,USDJPY,1053,FUTCUR,XX,-1,USDJPY,USDJPY27DEC24F,USDJPY 27th DEC FUT,2024-12-27,1,0.01
CDS,cde_fo,EURINR,1055,OPTCUR,CE,86,EURINR,EURINR15MAR24C86,EURINR 15th MAR 86 CE,2024-03-15,1,0.0025
CDS,cde_fo,GBPUSD,1057,FUTCUR,XX,-1,GBPUSD,GBPUSD26MAR24F,GBPUSD 26th MAR FUT,2024-03-26,1,0.0001
CDS,cde_fo,EURINR,1058,OPTCUR,CE,85.5,EURINR,EURINR27DEC24C85.5,EURINR 27th DEC 85.5 CE,2024-12-27,1,0.0025
CDS,cde_fo,JPYINR,1059,FUTCUR,XX,-1,JPYINR,JPYINR26MAR24F,JPYINR 26th MAR FUT,2024-03-26,1,0.0025
CDS,cde_fo,USDINR,1060,FUTCUR,XX,-1,USDINR,USDINR26MAR24F,USDINR 26th MAR FUT,2024-03-26,1,0.0025
CDS,cde_fo,USDJPY,1061,FUTCUR,XX,-1,USDJPY,USDJPY26MAR24F,USDJPY 26th MAR FUT,2024-03-26,1,0.01
CDS,cde_fo,EURINR,1062,OPTCUR,CE,82.75,EURINR,EURINR26MAR24C82.75,EURINR 26th MAR 82.75 CE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,1063,OPTCUR,CE,84.75,EURINR,EURINR09FEB24C84.75,EURINR 9th FEB 84.75 CE,2024-02-09,1,0.0025
CDS,cde_fo,EURINR,1064,OPTCUR,PE,85.5,EURINR,EURINR27DEC24P85.5,EURINR 27th DEC 85.5 PE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,1066,OPTCUR,CE,85.75,EURINR,EURINR27DEC24C85.75,EURINR 27th DEC 85.75 CE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,1067,OPTCUR,PE,85.75,EURINR,EURINR27DEC24P85.75,EURINR 27th DEC 85.75 PE,2024-12-27,1,0.0025
CDS,cde_fo,GBPINR,1068,OPTCUR,PE,99.5,GBPINR,GBPINR28MAR24P99.5,GBPINR 28th MAR 99.5 PE,2024-03-28,1,0.0025
CDS,cde_fo,EURINR,1069,OPTCUR,PE,86,EURINR,EURINR15MAR24P86,EURINR 15th MAR 86 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1070,OPTCUR,CE,86.25,EURINR,EURINR15MAR24C86.25,EURINR 15th MAR 86.25 CE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1071,OPTCUR,CE,83.5,EURINR,EURINR26JUN24C83.5,EURINR JUN 83.5 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1072,OPTCUR,CE,97.25,EURINR,EURINR09FEB24C97.25,EURINR 9th FEB 97.25 CE,2024-02-09,1,0.0025
CDS,cde_fo,EURINR,1073,FUTCUR,XX,-1,EURINR,EURINR28AUG24F,EURINR AUG FUT,2024-08-28,1,0.0025
CDS,cde_fo,EURINR,1074,OPTCUR,CE,84.25,EURINR,EURINR01MAR24C84.25,EURINR 1st MAR 84.25 CE,2024-03-01,1,0.0025
CDS,cde_fo,EURUSD,1075,FUTCUR,XX,-1,EURUSD,EURUSD28AUG24F,EURUSD AUG FUT,2024-08-28,1,0.0001
CDS,cde_fo,EURINR,1076,OPTCUR,PE,84.75,EURINR,EURINR09FEB24P84.75,EURINR 9th FEB 84.75 PE,2024-02-09,1,0.0025
CDS,cde_fo,GBPINR,1081,OPTCUR,CE,107,GBPINR,GBPINR29JAN24C107,GBPINR JAN 107 CE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1083,OPTCUR,PE,82.75,EURINR,EURINR26MAR24P82.75,EURINR 26th MAR 82.75 PE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,1084,OPTCUR,PE,83.5,EURINR,EURINR26JUN24P83.5,EURINR JUN 83.5 PE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1085,OPTCUR,CE,86,EURINR,EURINR27DEC24C86,EURINR 27th DEC 86 CE,2024-12-27,1,0.0025
CDS,cde_fo,GBPINR,1086,FUTCUR,XX,-1,GBPINR,GBPINR15MAR24F,GBPINR 15th MAR FUT,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1087,OPTCUR,CE,83,EURINR,EURINR26MAR24C83,EURINR 26th MAR 83 CE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,1089,OPTCUR,PE,84.25,EURINR,EURINR01MAR24P84.25,EURINR 1st MAR 84.25 PE,2024-03-01,1,0.0025
CDS,cde_fo,JPYINR,1091,OPTCUR,CE,61.5,JPYINR,JPYINR29JAN24C61.5,JPYINR JAN 61.5 CE,2024-01-29,1,0.0025
CDS,cde_fo,GBPINR,1092,OPTCUR,PE,107,GBPINR,GBPINR29JAN24P107,GBPINR JAN 107 PE,2024-01-29,1,0.0025
CDS,cde_fo,JPYINR,1093,FUTCUR,XX,-1,JPYINR,JPYINR15MAR24F,JPYINR 15th MAR FUT,2024-03-15,1,0.0025
